,Date,Shares Outstanding,Code
482,1988-03-15,2388787000.0000005,0002.HK
483,1988-03-16,2388787000.0000005,0002.HK
484,1988-03-17,2388787000.0000005,0002.HK
485,1988-03-18,2388787000.0000005,0002.HK
486,1988-03-21,2388787000.0000005,0002.HK
487,1988-03-22,2388787000.0000005,0002.HK
488,1988-03-23,2388787000.0000005,0002.HK
489,1988-03-24,2388787000.0000005,0002.HK
490,1988-03-25,2388787000.0000005,0002.HK
491,1988-03-28,2388787000.0000005,0002.HK
492,1988-03-29,2388787000.0000005,0002.HK
493,1988-03-30,2388787000.0000005,0002.HK
494,1988-03-31,2388787000.0000005,0002.HK
495,1988-04-06,2388787000.0000005,0002.HK
496,1988-04-07,2388787000.0000005,0002.HK
497,1988-04-08,2388787000.0000005,0002.HK
498,1988-04-11,2388787000.0000005,0002.HK
499,1988-04-12,2388787000.0000005,0002.HK
500,1988-04-13,2388787000.0000005,0002.HK
501,1988-04-14,2388787000.0000005,0002.HK
502,1988-04-15,2388787000.0000005,0002.HK
503,1988-04-18,2388787000.0000005,0002.HK
504,1988-04-19,2388787000.0000005,0002.HK
505,1988-04-20,2388787000.0000005,0002.HK
506,1988-04-21,2388787000.0000005,0002.HK
507,1988-04-22,2388787000.0000005,0002.HK
508,1988-04-25,2388787000.0000005,0002.HK
509,1988-04-26,2388787000.0000005,0002.HK
510,1988-04-27,2388787000.0000005,0002.HK
511,1988-04-28,2388787000.0000005,0002.HK
512,1988-04-29,2388787000.0000005,0002.HK
513,1988-05-02,2388787000.0000005,0002.HK
514,1988-05-03,2388787000.0000005,0002.HK
515,1988-05-04,2388787000.0000005,0002.HK
516,1988-05-05,2388787000.0000005,0002.HK
517,1988-05-06,2388787000.0000005,0002.HK
518,1988-05-09,2388787000.0000005,0002.HK
519,1988-05-10,2388787000.0000005,0002.HK
520,1988-05-11,2388787000.0000005,0002.HK
521,1988-05-12,2388787000.0000005,0002.HK
522,1988-05-13,2388787000.0000005,0002.HK
523,1988-05-16,2388787000.0000005,0002.HK
524,1988-05-17,2388787000.0000005,0002.HK
525,1988-05-18,2388787000.0000005,0002.HK
526,1988-05-19,2388787000.0000005,0002.HK
527,1988-05-20,2388787000.0000005,0002.HK
528,1988-05-23,2388787000.0000005,0002.HK
529,1988-05-24,2388787000.0000005,0002.HK
530,1988-05-25,2388787000.0000005,0002.HK
531,1988-05-26,2388787000.0000005,0002.HK
532,1988-05-27,2388787000.0000005,0002.HK
533,1988-05-30,2388787000.0000005,0002.HK
534,1988-05-31,2388787000.0000005,0002.HK
535,1988-06-01,2388787000.0000005,0002.HK
536,1988-06-02,2388787000.0000005,0002.HK
537,1988-06-03,2388787000.0000005,0002.HK
538,1988-06-06,2388787000.0000005,0002.HK
539,1988-06-07,2388787000.0000005,0002.HK
540,1988-06-08,2388787000.0000005,0002.HK
541,1988-06-09,2388787000.0000005,0002.HK
542,1988-06-10,2388787000.0000005,0002.HK
543,1988-06-14,2388787000.0000005,0002.HK
544,1988-06-15,2388787000.0000005,0002.HK
545,1988-06-16,2388787000.0000005,0002.HK
546,1988-06-17,2388787000.0000005,0002.HK
547,1988-06-20,2388787000.0000005,0002.HK
548,1988-06-21,2388787000.0000005,0002.HK
549,1988-06-22,2388787000.0000005,0002.HK
550,1988-06-23,2388787000.0000005,0002.HK
551,1988-06-24,2388787000.0000005,0002.HK
552,1988-06-27,2388787000.0000005,0002.HK
553,1988-06-28,2388787000.0000005,0002.HK
554,1988-06-29,2388787000.0000005,0002.HK
555,1988-06-30,2388787000.0000005,0002.HK
556,1988-07-01,2388787000.0000005,0002.HK
557,1988-07-04,2388787000.0000005,0002.HK
558,1988-07-05,2388787000.0000005,0002.HK
559,1988-07-06,2388787000.0000005,0002.HK
560,1988-07-07,2388787000.0000005,0002.HK
561,1988-07-08,2388787000.0000005,0002.HK
562,1988-07-11,2388787000.0000005,0002.HK
563,1988-07-12,2388787000.0000005,0002.HK
564,1988-07-13,2388787000.0000005,0002.HK
565,1988-07-14,2388787000.0000005,0002.HK
566,1988-07-15,2388787000.0000005,0002.HK
567,1988-07-18,2388787000.0000005,0002.HK
568,1988-07-19,2388787000.0000005,0002.HK
569,1988-07-20,2388787000.0000005,0002.HK
570,1988-07-21,2388787000.0000005,0002.HK
571,1988-07-22,2388787000.0000005,0002.HK
572,1988-07-25,2388787000.0000005,0002.HK
573,1988-07-26,2388787000.0000005,0002.HK
574,1988-07-27,2388787000.0000005,0002.HK
575,1988-07-28,2388787000.0000005,0002.HK
576,1988-07-29,2388787000.0000005,0002.HK
577,1988-08-01,2388787000.0000005,0002.HK
578,1988-08-02,2388787000.0000005,0002.HK
579,1988-08-03,2388787000.0000005,0002.HK
